Year	Month	Headline_CPI	01_Food_NonAlc	04_Housing_Utilities	07_Transport	02_Alc_Tobacco	03_Cloth_Footwear	06_Health
2021	Jan	112.58	114.22	111.05	118.40	115.80	110.15	111.60
2021	Mar	113.81	116.14	111.90	121.30	116.40	110.80	111.90
2021	Jun	115.11	117.90	112.40	121.65	117.10	111.40	112.15
2021	Sep	116.20	119.55	113.10	122.95	118.40	112.20	112.90
2021	Dec	118.32	122.90	114.80	124.15	119.50	112.80	113.40
2022	Jan	119.10	124.30	115.15	124.20	119.95	113.15	113.80
2022	Mar	120.27	126.50	116.10	125.10	121.10	114.20	114.40
2022	Jun	124.22	134.20	118.95	129.80	122.60	115.20	115.30
2022	Sep	126.45	138.10	120.60	132.10	123.90	116.40	116.50
2022	Dec	127.78	140.20	122.10	133.80	124.90	117.10	117.15
2023	Jan	128.35	141.20	122.75	134.50	125.40	117.50	117.60
2023	Mar	130.41	144.60	124.40	137.40	127.80	118.90	119.10
2023	Jun	134.01	149.30	127.35	142.10	131.20	120.40	120.45
2023	Sep	134.22	149.20	127.90	142.60	132.90	121.80	121.90
2023	Dec	137.55	154.00	130.85	147.20	134.60	123.15	123.10
2024	Jan	137.10	152.35	130.90	146.10	134.90	123.50	123.60
2024	Mar	137.82	153.15	131.60	147.10	135.40	124.20	124.80
2024	Jun	140.23	156.40	133.20	150.10	137.80	125.90	126.15
2024	Sep	139.87	155.60	132.85	149.50	138.50	126.60	127.10
2024	Dec	141.66	158.45	134.15	151.95	139.60	127.40	127.90
2025	Jan	142.15	159.20	134.40	152.20	140.10	127.85	128.40
2025	Mar	143.40	161.15	135.25	154.10	141.25	128.60	129.30
2025	Jun	145.58	164.65	136.60	157.20	142.95	129.90	130.80
2025	Sep	145.75	164.85	136.70	157.35	143.60	130.40	131.20
2025	Dec	146.90	166.60	137.50	158.90	144.80	131.60	132.50
2026	Jan	147.25	167.15	137.75	159.40	145.20	132.10	133.10
2026	Feb	148.42	169.60	138.40	161.20	145.85	132.70	133.80
2026	Mar	149.20	171.10	138.90	162.30	146.40	133.25	134.40
2026	Apr	150.15	172.85	139.80	163.95	147.10	134.10	135.20
2026	May	150.95	174.20	140.25	165.65	147.60	134.60	135.80
